,2015,2016,2017,2018,2019
0,Blank Space,Hello,Starboy,Perfect,"Thank U, Next"
1,Take Me To Church,Sorry,Black Beatles,Rockstar,Without Me
2,Uptown Funk!,Hotline Bling,Closer,Havana,All I Want For Christmas Is You
3,Thinking Out Loud,Love Yourself,24K Magic,Gucci Gang,Sicko Mode
4,Lips Are Movin,What Do You Mean?,Juju On That Beat (TZ Anthem),No Limit,Sunflower (Spider-Man: Into The Spider-Verse)
5,I'm Not The Only One,Same Old Love,Side To Side,Thunder,High Hopes
6,Love Me Harder,The Hills,Let Me Love You,MotorSport,Happier
7,Jealous,Here,Don't Wanna Know,Too Good At Goodbyes,Jingle Bell Rock
8,Animals,Stitches,Bad Things,All I Want For Christmas Is You,Rockin' Around The Christmas Tree
9,All About That Bass,Like I'm Gonna Lose You,Fake Love,Bad At Love,A Holly Jolly Christmas
10,Shake It Off,679,Caroline,River,The Christmas Song (Merry Christmas To You)
11,I Don't F**k With You,In The Night,Heathens,Bodak Yellow (Money Moves),Drip Too Hard
12,The Heart Wants What It Wants,Jumpman,Bad And Boujee,New Rules,It's The Most Wonderful Time Of The Year
13,Wasted Love,On My Mind,Scars To Your Beautiful,Gummo,Girls Like You
14,Only,Can't Feel My Face,Broccoli,Him & I,ZEZE
15,Habits (Stay High),Antidote,All I Want For Christmas Is You,I Fall Apart,Rudolph The Red-Nosed Reindeer
16,Tuesday,Ex's & Oh's,Starving,What Lovers Do,Mo Bamba
17,Waves,All I Want For Christmas Is You,I Don't Wanna Live Forever (Fifty Shades Darker),Let You Down,Wake Up In The Sky
18,Don't,Stressed Out,OOOUUU,I Get The Bag,Money
19,Centuries,Don't,Love On The Brain,Feel It Still,"Let It Snow, Let It Snow, Let It Snow"
20,The Hanging Tree,Die A Happy Man,Bounce Back,Sorry Not Sorry,Eastside
21,Bang Bang,White Iverson,The Greatest,Love.,Breathin
22,No Type,Wildest Dreams,Hallelujah,Wolves,Better Now
23,11-Jul,Mary Did You Know,All Time Low,Shape Of You,Youngblood
24,Hot Boy,Lean On,I Feel It Coming,Mi Gente,Last Christmas
25,Blame,Roses,Treat You Better,Plain Jane,Sleigh Ride
26,Stay With Me,Watch Me,Rockin' Around The Christmas Tree,The Way Life Goes,Lucid Dreams
27,CoCo,Say It,Mercy,Meant To Be,Here Comes Santa Claus (Right Down Santa Claus Lane)
28,Beg For It,Burning House,Jingle Bell Rock,The Weekend,Feliz Navidad
29,Don't Tell 'Em,Confident,In The Name Of Love,Rockin' Around The Christmas Tree,Taki Taki
30,I Don't Mind,Trap Queen,I Hate U I Love U,How Long,MIA
31,Riptide,Perfect,Can't Stop The Feeling!,It's The Most Wonderful Time Of The Year,(There's No Place Like) Home For The Holidays
32,Black Widow,Focus,Blue Ain't Your Color,Young Dumb & Broke,Leave Me Alone
33,My Baby's Got A Smile On Her Face,Break Up In A Small Town,Don't Let Me Down,1-800-273-8255,White Christmas
34,All I Want For Christmas Is You,Where Ya At,Deja Vu,Bank Account,It's Beginning To Look A Lot Like Christmas
35,Heroes (We Could Be),No Role Modelz,Cheap Thrills,Despacito,Going Bad
36,Trumpets,Locked Away,This Town,The Christmas Song (Merry Christmas To You),A Lot
37,Shotgun Rider,Rockin' Around The Christmas Tree,Cold Water,A Holly Jolly Christmas,Trip
38,Stolen Dance,Where Are U Now,Chill Bill,Silence,I Like It
39,Chandelier,"Me, Myself & I",Love Me Now,Believer,Blue Christmas
40,Something In The Water,Hide Away,Both,Sky Walker,Speechless
41,Santa Tell Me,See You Again,Unsteady,End Game,Happy Xmas (War Is Over)
42,Feeling Myself,Good For You,X,Last Christmas,Christmas (Baby Please Come Home)
43,Lifestyle,Adventure Of A Lifetime,Feliz Navidad,Attention,Underneath The Tree
44,Rather Be,Again,"Mary, Did You Know?",Ric Flair Drip,Run Rudolph Run
45,Try Me,I Know What You Did Last Summer,A Holly Jolly Christmas,Lemon,Natural
46,Ghost,Cake By The Ocean,The Christmas Song (Merry Christmas To You),Unforgettable,Wow.
